,address,city,country,full name,lifespan,motto,nickname,region,rookie year,website,years active
1,"Pontiac, Michigan 48340, USA",Pontiac,USA,The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne,21,Real Winners are Ordinary People with Extraordinary Determination,The Juggernauts,Michigan,1997.0,http://www.juggernauts.org/,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
4,"Van Nuys, California 91406, USA",Van Nuys,USA,BOEING/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Roberts Tool Co./Full Scale Effects & High Tech La,12,Igniting the flames of passion,Team 4 ELEMENT,California,1997.0,http://www.team4element.com,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
5,"Melvindale, MI, USA",Melvindale,USA,Ford FIRST Robotics & Melvindale High School,11,,Robocards,MI,1998.0,http://www.robocards.org,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]"
6,"Plymouth, MN, USA",Plymouth,USA,ATK (Alliant Techsystems) & Hopkins High School,10,,The CogSquad,MN,1994.0,http://www.cogsquad.org,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]"
7,"Baltimore, MD, USA",Baltimore,USA,"Lockheed Martin/Northrop Grumman/Oak Harbor Marina/US Army/jcpenney/US Army Aberdeen Test Center/Moffatt & Nichol/Baltimore Area Alliance/Mr.Brookman & Parkville High School and Center for Mathematics, Science, and Computer Science",16,,Team007,MD,,http://www.team007.org,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]"
8,"Palo Alto, California 94301, USA",Palo Alto,USA,Google/Lockheed Martin/Bae Systems/Intuitive Surgical /Fenwick & West LLP/Webcor Builders/NVIDIA/Dropbox/Solidworks/Kirk's Steakburgers & Palo Alto High,22,Making Humans Obsolete Since 1996,Paly Robotics,California,1996.0,http://www.palyrobotics.com/,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
9,"Chicago, IL, USA",Chicago,USA,Roosevelt High School,11,,Roosevelt RoboRiders,IL,1998.0,http://www.roboriders9.com,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]"
10,"St. Louis Park, MN, USA",St. Louis Park,USA,Benilde-St. Margaret's School,4,,Red Knights,MN,,,"[1998, 1999, 2000, 2002]"
11,"Flanders, New Jersey 07836, USA",Flanders,USA,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt  Olive High,21,"""Coming Together, Designing Together, Building Together, Succeeding Together""",MORT,New Jersey,1997.0,http://www.mort11.org,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
13,,,,,2,,,,,,"[1997, 1998]"
14,,,,,4,,,,,,"[1995, 1996, 1997, 1998]"
15,,,,,3,,,,,,"[1997, 1999, 2000]"
16,"Mountain Home, Arkansas 72653, USA",Mountain Home,USA,"Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST/Novak Technical Services, LLC & Mtn Home High Career Academics & Mountain Home Jr. High School",21,Kick the tires and light the fires,Bomb Squad,Arkansas,1996.0,http://frcteam16.com,"[1996, 1997, 1998, 1999, 2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
17,,,,,1,,,,,,[2008]
18,,,,,2,,,,,,"[1997, 1998]"
19,"Greenwich, CT, USA",Greenwich,USA,Greenwich High School,11,,Big Red,CT,1992.0,http://www.ghsteam19.com,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2005]"
20,"Clifton Park, New York 12065, USA",Clifton Park,USA,Global Foundries-Town of Malta Foundation/GE Volunteers and the GE Foundation/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & Shenendehowa High School,21,"Inspiration,  Integrity, Improvement",The Rocketeers,New York,1992.0,http://www.team20.com,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
21,"Titusville, Florida 32796, USA",Titusville,USA,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Tech/Florida Power & Light & Astronaut High School & Titusville High School,20,Who Dat Bat - ComBBAT,ComBBAT,Florida,1998.0,http://www.combbat21.com/,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
22,"Chatsworth, CA, USA",Chatsworth,USA,Chatsworth High School,10,,Double Deuce,CA,1997.0,http://www.team22.org,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006]"
23,"Plymouth, MA, USA",Plymouth,USA,Entergy Corporation/Raytheon & Plymouth North High School,7,,PNTA,MA,1995.0,http://www.pnta.org,"[1995, 1996, 1997, 1998, 1999, 2012, 2013]"
24,,,,,2,,,,,,"[1997, 1998]"
25,"North Brunswick, New Jersey 08902, USA",North Brunswick,USA,Picatinny Arsenal. US Dept of Defense/North Brunswick Public Schools/Raider Robotix Parent and Mentor Organization/Bristol-Myers Squibb Co./Abbe Lumber & North Brunswick Twp High,21,there's nothing beyond our reach,Raider Robotix,New Jersey,1997.0,http://www.raiderrobotix.org,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]"
