team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
111,WildStang,1996,"Motorola Solutions Foundation / Methode Electronics / Township High School District 214 / Numerical Precision, Inc. / Nu-Way Industries / Lendrix / Magnetic Inspection Laboratory / Just Manufacturing / Automatic Precision & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School",,Arlington Heights,Illinois,USA,WildStang,3,"['2016ilch', '2016ilpe', '2016tes']","['Midwest Regional', 'Central Illinois Regional', 'Tesla Division']"
114,Eagle Strike,1997,Google / Western Digital / Lockheed Martin / Intuitive Surgical / Applied Welding Technology / Advanced Component Technology / Los Altos High School & Los Altos High,,Los Altos,California,USA,,2,"['2016cada', '2016casj']","['Sacramento Regional', 'Silicon Valley Regional presented by Google.org']"
115,MVRT,1998,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High",,Cupertino,California,USA,,2,"['2016casj', '2016utwv']","['Silicon Valley Regional presented by Google.org', 'Utah Regional']"
116,Epsilon Delta,1996,NASA Headquarters & Herndon High,NASA,Herndon,Virginia,USA,From small differences come big changes,3,"['2016chcmp', '2016vados', '2016vahay']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'CHS District - Central Virginia Event', 'CHS District - Northern Virginia Event']"
117,The Steel Dragons,1998,4moms / The Thorn Family / The Heinz Endowments  / FIRST FRC Hardship Grants  / KuzElectric inc & Pittsburgh Allderdice Hs,,Pittsburgh,Pennsylvania,USA,"Get it done, then make it better",1,['2016paca'],['Greater Pittsburgh Regional']
118,Robonauts,1997,NASA-JSC & Clear Creek H S,NASA,League City,Texas,USA,,5,"['2016alhu', '2016cmp', '2016new', '2016onto', '2016txho']","['Rocket City Regional', 'Einstein Field', 'Newton Division', 'Greater Toronto East Regional ', 'Lone Star Regional']"
120,Cleveland's Team,1995,NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy,NASA,Cleveland,Ohio,USA,All for ONE--Cleveland's Team!,5,"['2016carv', '2016cmp', '2016ohci', '2016ohcl', '2016scmb']","['Carver Division', 'Einstein Field', 'Queen City Regional', 'Buckeye Regional', 'Palmetto Regional']"
121,Rhode Warriors,1996,NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School,,Newport County,Rhode Island,USA,Quality Robots Since 1996,2,"['2016mabos', '2016manda']","['NE District - Boston Event', 'NE District - UMass-Dartmouth Event']"
122,NASA Knights,1997,NASA Langley Research Center/New Horizons Regional Education Center/Precision Sheet Metal Fabrication LLC/TE Connectivity Foundation/Fastenal/Rose Precision Machine & Butler Farm Campus,NASA,Hampton,Virginia,USA,Inspire at all costs,4,"['2016chcmp', '2016new', '2016vados', '2016vapor']","['FIRST Chesapeake District Championship sponsored by Booz Allen Hamilton', 'Newton Division', 'CHS District - Central Virginia Event', 'CHS District - Hampton Roads Event']"
123,Team - Cosmos,1997,"GM Detroit Hamtramck Assembly/General Motors Foundation/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /Wayne State University Formula SAE/DADARA/State of Michigan & Hamtramck High School",,Hamtramck,Michigan,USA,Share our similarities and celebrate our differences ,4,"['2016hop', '2016micen', '2016micmp', '2016misou']","['Hopper Division', 'FIM District - Center Line Event', 'Michigan State Championship', 'FIM District - Southfield Event']"
125,NUTRONs,1998,Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High,,Boston,Massachusetts,USA,Uhhh....Strap???,7,"['2016azfl', '2016mabos', '2016melew', '2016necmp', '2016new', '2016ripro', '2016week0']","['Arizona North Regional', 'NE District - Boston Event', 'NE District - Pine Tree Event', 'New England District Championship', 'Newton Division', 'NE District - Rhode Island Event', 'Week 0']"
126,Gael Force,1992,Nypro Inc. & Clinton Senior High,,Clinton,Massachusetts,USA,Molding the Future,4,"['2016mabos', '2016mawor', '2016necmp', '2016new']","['NE District - Boston Event', 'NE District - WPI Event', 'New England District Championship', 'Newton Division']"
128,The Botcats,1997,"American Electric Power/Grandview Heights Marble Cliff Education Foundation/Grandview Bobcat Boosters, Inc. & Grandview Heights High School",,Grandview Heights,Ohio,USA,"Student Designed, Student Built, Student Run -  Mentor Approved",3,"['2016ohci', '2016ohsc', '2016paca']","['Queen City Regional', 'Ohio FRC State Championship', 'Greater Pittsburgh Regional']"
131,C.H.A.O.S.,1995,"BAE SYSTEMS / Rockwell Automation / Solid Works / Intelitek Inc / CHAOS Families / Best Buy Foundation / Cronin Bisson & Zalinsky, Attorneys at Law & Manchester Central High School &  4-H Hillsborough County, NH",,Manchester,New Hampshire,USA,You can't stop us!,2,"['2016nhdur', '2016nhgrs']","['NE District - UNH Event', 'NE District - Granite State Event']"
133,B.E.R.T.,1997,ITS Inc./Lockheed Martin/Robotics Institute of Maine & Bonny Eagle High School,,Standish,Maine,USA,Building Engineers One Robot at a Time,4,"['2016carv', '2016marea', '2016melew', '2016necmp']","['Carver Division', 'NE District - North Shore Event', 'NE District - Pine Tree Event', 'New England District Championship']"
135,Penn Robotics,1998,PHM Educational Foundation/Renesas & Penn High School,,Mishawaka,Indiana,USA,"Blood, Sweat, and Gears",4,"['2016cars', '2016incmp', '2016inpmh', '2016inwla']","['Carson Division', 'Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Tippecanoe Event']"
136,Killer Kardinals,1997,"Plainfield Board of Education / Ivy Visions, Inc. & Plainfield High",,Plainfield,New Jersey,USA,"""Champions Under Construction!""",2,"['2016njski', '2016paphi']","['MAR District - Montgomery Event', 'MAR District - Springside Chestnut Hill Event']"
138,Entropy,1996,Monarch Instrument / Rockwell Automation / BAE Systems / SvenGrafik / Control Air / John Alberts Welding / Rapid Sheet Metal / Amherst Lions Club / County Stores / BB Mold & Souhegan Coop High School,,Amherst,New Hampshire,USA,We Love Torque,2,"['2016nhdur', '2016nhgrs']","['NE District - UNH Event', 'NE District - Granite State Event']"
141,WOBOT,1995,"JR Automation Technologies, LLC / Holland Board of Public Works / Koop & Burr Insurance / Bradford Company / Engineered Automation Systems, Inc. / Suntec Services / Rutherford & Associates / Egemin Automation / Tric Tool, Ltd.  & West Ottawa High School Campus",,Holland,Michigan,USA,We can do more.,4,"['2016carv', '2016flwp', '2016misjo', '2016miwmi']","['Carver Division', 'South Florida Regional ', 'FIM District - St. Joseph Event', 'FIM District - West Michigan Event']"
144,The R.O.C.K,1994,"Clippard Instruments / P&G / The Kroger Company / Skyline Chili / Craftsman Electric / TP Mechanical  / Cincinnati Test Systems / MSA, Architects / Alliance Robotics / Northgate Greenhouses & Butler Tech - Colerain High School & Butler Tech - Northwest High School",,Cincinnati,Ohio,USA,What is your quest?,3,"['2016ohci', '2016ohsc', '2016paca']","['Queen City Regional', 'Ohio FRC State Championship', 'Greater Pittsburgh Regional']"
145,T-Rx,1997,NY Tech Valley FIRST Sponsors / Follett Foundation / Greater Norwich Foundation / Otis Thompsen Foundation / Anna Mabey Foundation / Peptis Foundation / The Balloon Detail & Norwich High School & Sherburne-Earlville Senior High School & Unadilla Valley High School,,Norwich,New York,USA,Looking Down from the Top of the Food Chain,1,['2016nytr'],['New York Tech Valley Regional']
148,Robowranglers,1992,Innovation First International/L-3 Mission Integration/Texas Workforce Commission & GREENVILLE H S,,Greenville,Texas,USA,Professionalism at all times,5,"['2016cmp', '2016hop', '2016onwa', '2016txda', '2016txsa']","['Einstein Field', 'Hopper Division', 'Waterloo Regional ', 'Dallas Regional', 'Alamo Regional sponsored by Rackspace Hosting']"
151,Tough Techs,1992,BAE Systems / Raytheon / GHO Ventures / Parker Hannifin / Rapid Machining / Boston Carmen's Union Local 589 & Nashua High School North & Nashua High School South,,Nashua,New Hampshire,USA,Where all students go pro,2,"['2016marea', '2016nhdur']","['NE District - North Shore Event', 'NE District - UNH Event']"
155,The Technonuts,1994,"United Techologies Pratt & Whitney Division, East Hartford, CT & Berlin High School & Catherine M. Mcgee Middle School",,Berlin,Connecticut,USA,It has to be fun!,5,"['2016cthar', '2016ctsc', '2016ctwat', '2016manda', '2016necmp']","['NE District - Hartford Event', 'Connecticut State Championship', 'NE District - Waterbury Event', 'NE District - UMass-Dartmouth Event', 'New England District Championship']"
156,RPM  - Robotics Plus Mayhem ,1997,GE & Fairview Hs,,Fairview,Pennsylvania,USA,REV IT UP!,2,"['2016ohcl', '2016paca']","['Buckeye Regional', 'Greater Pittsburgh Regional']"
157,AZTECHS,1995,Boston Scientific / Staples / EMC2 / Raytheon / Entwistle & Assabet Valley Voc Hs,,Marlborough,Massachusetts,USA,The best way to predict the future is to design it.,3,"['2016mawor', '2016ripro', '2016week0']","['NE District - WPI Event', 'NE District - Rhode Island Event', 'Week 0']"
159,Alpine Robotics,1998,Nordson/AMD/GST/Wolf Robotics/Hewlett Packard/Advanced Energy/Metal Distributors/DGCD/Exponential Engineering/Ft Collins Plastics/Gulley Greenhouse/PH'S Alpine Robotics & Poudre High School,,Fort Collins,Colorado,USA,"159, Go Alpine!",1,['2016code'],['Colorado Regional']
