team number,nickname,rookie year,full name,Nasa?,city,region,country,motto,# of events,event codes,event names
1,The Juggernauts,1997,The Chrysler Foundation/BAE Systems/Hirotec & Oakland Schools Technical Campus--Ne,,Pontiac,Michigan,USA,Real Winners are Ordinary People with Extraordinary Determination,2,"['2016miket', '2016mimar']","['FIM District - Kettering University Event #1', 'FIM District - Marysville Event']"
4,Team 4 ELEMENT,1997,BOEING/Sawing Services/Gibbs CAM/SolidWorks/Boston Scientific/WAAG/Roberts Tool Co./Full Scale Effects & High Tech La,,Van Nuys,California,USA,Igniting the flames of passion,2,"['2016calb', '2016cave']","['Los Angeles Regional', 'Ventura Regional']"
8,Team 8,1996,Google/Lockheed Martin/Bae Systems/Intuitive Surgical /Fenwick & West LLP/Webcor Builders/NVIDIA/Dropbox/Solidworks/Kirk's Steakburgers & Palo Alto High,,Palo Alto,California,USA,Making Humans Obsolete Since 1996,3,"['2016cama', '2016casj', '2016cur']","['Central Valley Regional', 'Silicon Valley Regional presented by Google.org', 'Curie Division']"
11,MORT,1997,Siemens/John & Margaret Post Foundation/National Defense Education Program/Givaudan/BAE Systems/ASCO/Chameleon Designs/Mt. Olive School District/Prevision Systems & Mt  Olive High,,Flanders,New Jersey,USA,"""Coming Together, Designing Together, Building Together, Succeeding Together""",5,"['2016cars', '2016flwp', '2016mrcmp', '2016njfla', '2016paphi']","['Carson Division', 'South Florida Regional ', 'Mid-Atlantic Robotics District Championship', 'MAR District - Mt. Olive Event', 'MAR District - Springside Chestnut Hill Event']"
16,Bomb Squad,1996,"Baxter Healthcare Corporation/The Science and Technology Group/Arkansas FIRST/Novak Technical Services, LLC & Mtn Home High Career Academics & Mountain Home Jr. High School",,Mountain Home,Arkansas,USA,Kick the tires and light the fires,3,"['2016alhu', '2016arlr', '2016new']","['Rocket City Regional', 'Arkansas Rock City Regional', 'Newton Division']"
20,The Rocketeers,1992,Global Foundries-Town of Malta Foundation/GE Volunteers and the GE Foundation/BAE SYSTEMS/Advanced Manufacturing Techniques Inc./NYSTAR and the Center for Automation Technologies and Systems at Rensselaer Polytechnic Institute & Shenendehowa High School,,Clifton Park,New York,USA,"Inspiration,  Integrity, Improvement",3,"['2016carv', '2016nyro', '2016nytr']","['Carver Division', 'Finger Lakes Regional ', 'New York Tech Valley Regional']"
21,ComBBAT,1998,The Boeing Company/SGT/Planet Fitness of Daytona/School Board of Brevard County/East Coast Machine/NASA GSDO/Indian River Tech/Florida Power & Light & Astronaut High School & Titusville High School,NASA,Titusville,Florida,USA,Who Dat Bat - ComBBAT,2,"['2016flor', '2016flwp']","['Orlando Regional', 'South Florida Regional ']"
25,Raider Robotix,1997,Bristol-Myers Squibb Co./American Alloy Fabricators/Abbe Lumber/Becton Dickinson & North Brunswick Twp High,,North Brunswick,New Jersey,USA,there's nothing beyond our reach,4,"['2016cur', '2016mrcmp', '2016njbri', '2016pahat']","['Curie Division', 'Mid-Atlantic Robotics District Championship', 'MAR District - Bridgewater-Raritan Event', 'MAR District - Hatboro-Horsham Event']"
27,Team RUSH,1997,BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School,,Clarkston,Michigan,USA,Never Give Up,5,"['2016carv', '2016mibro', '2016micmp', '2016miliv', '2016ohcl']","['Carver Division', 'FIM District - Woodhaven Event', 'Michigan State Championship', 'FIM District - Livonia Event', 'Buckeye Regional']"
28,Pierson Whalers,1996,Ancora Yacht Service/Ship Ashore Marina & Pierson Middle/High School,,Sag Harbor,New York,USA,Work Smoothly=Life Time Piece,1,['2016nyli'],['SBPLI Long Island Regional']
31,Prime Movers,1997,Williams/OSDE/AEP/Boeing/National Defense Education Program & Jenks Hs,,Jenks,Oklahoma,USA,,2,"['2016mokc', '2016okok']","['Greater Kansas City Regional', 'Oklahoma Regional ']"
33,Killer Bees,1996,Fiat Chrysler Automotive/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas & Notre Dame Preparatory,,Auburn Hills,Michigan,USA,Teamwork Keeps the Hive Alive,4,"['2016micmp', '2016mitry', '2016miwat', '2016tes']","['Michigan State Championship', 'FIM District - Troy Event', 'FIM District - Waterford Event', 'Tesla Division']"
34,Rockets,1997,Limestone County Board of Education/Limestone County Legislative Delegation/Society of Women Engineers & Limestone County Gifted Program & Limestone Co Area Voc Tech,,Athens,Alabama,USA,FIRST in Alabama,2,"['2016alhu', '2016arlr']","['Rocket City Regional', 'Arkansas Rock City Regional']"
41,RoboWarriors,1997,Watchung Hills Reg H,,Warren,New Jersey,USA,,5,"['2016cars', '2016cmp', '2016mrcmp', '2016njfla', '2016njski']","['Carson Division', 'Einstein Field', 'Mid-Atlantic Robotics District Championship', 'MAR District - Mt. Olive Event', 'MAR District - Montgomery Event']"
45,TechnoKats Robotics Team,1992,"Delphi/AndyMark, Inc./Duke Energy/Foresite/Kokomo Education Foundation/Royal United Mortgage/1Up! Software/HMH Contractors, Inc./Howard County EMA/Indiana Wesleyan University/Kati L. Taylor/Kokomo Area Career Center Collision Repair & Construction Class/Kokomo Area Lions Club/Midwestern Engineers, Inc./Northwest Radiology Network/ProPrints & Kokomo High School",,Kokomo,Indiana,USA,,4,"['2016arc', '2016incmp', '2016inpmh', '2016inwla']","['Archimedes Division', 'Indiana State Championship', 'IN District - Perry Meridian Event', 'IN District - Tippecanoe Event']"
48,Delphi E.L.I.T.E.,1998,Delphi Corporation/Nordson XALOY & Warren G Harding High School,,Warren,Ohio,USA,Encouraging Learning In Technology and Engineering,5,"['2016new', '2016nytr', '2016ohci', '2016ohsc', '2016paca']","['Newton Division', 'New York Tech Valley Regional', 'Queen City Regional', 'Ohio FRC State Championship', 'Greater Pittsburgh Regional']"
51,The Wings of Fire,1996,GM Powertrain/Delphi/Chrysler Foundation/The Ford Foundation/BAE Systems/Chief Financial Credit Union/Genisys Credit Union/AWG Systems/Methode & Pontiac Schools,,Pontiac,Michigan,USA,You get out of this program what you put into it!,4,"['2016cars', '2016micmp', '2016mihow', '2016miwat']","['Carson Division', 'Michigan State Championship', 'FIM District - Howell Event', 'FIM District - Waterford Event']"
53,Area 53,1998,Army Research Laboratory/Maryland Space Business Roundtable & Eleanor Roosevelt High,,Greenbelt,Maryland,USA,Seeking Intelligence,2,"['2016mdblr', '2016mdedg']","['CHS District - Northern Maryland Event', 'CHS District - Central Maryland Event']"
56,R.O.B.B.E.,1997,Ethicon & Bound Brook High,,Bound Brook,New Jersey,USA,"""To teach, to learn, to inspire.""",3,"['2016mrcmp', '2016njfla', '2016njski']","['Mid-Atlantic Robotics District Championship', 'MAR District - Mt. Olive Event', 'MAR District - Montgomery Event']"
