team,rookie year,active years,Last active year,# active years
1,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
4,1997,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,11
5,1998,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",2008,11
6,1994,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003]",2003,10
7,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",2012,16
8,1996,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,21
9,1998,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",2008,11
10,1998,"[1998, 1999, 2000, 2002]",2002,4
11,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
13,1997,"[1997, 1998]",1998,2
14,1995,"[1995, 1996, 1997, 1998]",1998,4
15,1997,"[1997, 1999, 2000]",2000,3
16,1996,"[1996, 1997, 1998, 1999, 2000, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
17,2008,[2008],2008,1
18,1997,"[1997, 1998]",1998,2
19,1992,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2005]",2005,11
20,1992,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
21,1998,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,19
22,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006]",2006,10
23,1995,"[1995, 1996, 1997, 1998, 1999, 2012, 2013]",2013,7
24,1997,"[1997, 1998]",1998,2
25,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
27,1997,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,20
28,1996,"[1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016]",2016,21
29,1998,[1998],1998,1
30,1998,"[1998, 1999, 2000, 2001, 2002, 2003, 2004]",2004,7
