team,rookie year,last active,years active,max possible,ratio
1,1997,2016,20,20,1
4,1997,2016,11,20,0.55
5,1998,2008,11,19,0.578947368
6,1994,2003,10,23,0.434782609
7,1997,2012,16,20,0.8
8,1996,2016,21,21,1
9,1998,2008,11,19,0.578947368
10,1998,2002,4,19,0.210526316
11,1997,2016,20,20,1
13,1997,1998,2,20,0.1
14,1995,1998,4,22,0.181818182
15,1997,2000,3,20,0.15
16,1996,2016,20,21,0.952380952
17,2008,2008,1,9,0.111111111
18,1997,1998,2,20,0.1
19,1992,2005,11,25,0.44
20,1992,2016,20,25,0.8
21,1998,2016,19,19,1
22,1997,2006,10,20,0.5
23,1995,2013,7,22,0.318181818
24,1997,1998,2,20,0.1
25,1997,2016,20,20,1
27,1997,2016,20,20,1
28,1996,2016,21,21,1
29,1998,1998,1,19,0.052631579
30,1998,2004,7,19,0.368421053
31,1997,2016,20,20,1
33,1996,2016,21,21,1
34,1997,2016,20,20,1
35,1997,2004,4,20,0.2
37,1996,2001,5,21,0.238095238
38,1998,2006,9,19,0.473684211
39,1998,2010,5,19,0.263157895
40,1998,2011,14,19,0.736842105
41,1997,2016,20,20,1
42,1995,2008,13,22,0.590909091
45,1992,2016,25,25,1
46,1998,2009,2,19,0.105263158
47,1996,2009,14,21,0.666666667
48,1998,2016,19,19,1
49,1998,2011,14,19,0.736842105
51,1996,2016,7,21,0.333333333
52,1997,1998,2,20,0.1
53,1998,2016,17,19,0.894736842
55,1995,2000,3,22,0.136363636
56,1997,2016,20,20,1
57,1998,2016,19,19,1
58,1996,2016,21,21,1
59,1997,2016,18,20,0.9
60,1997,2016,20,20,1
61,1995,2015,21,22,0.954545455
62,2000,2000,1,17,0.058823529
63,1997,2016,20,20,1
64,1998,2005,8,19,0.421052632
65,1997,2009,13,20,0.65
66,1998,2016,19,19,1
67,1997,2016,20,20,1
68,1998,2016,19,19,1
69,1998,2016,21,19,1.105263158
70,1998,2016,19,19,1
71,1996,2016,21,21,1
73,1995,2016,19,22,0.863636364
74,1995,2016,22,22,1
75,1996,2016,20,21,0.952380952
77,1998,1998,1,19,0.052631579
78,1996,2016,7,21,0.333333333
79,1998,2016,19,19,1
80,1994,2005,11,23,0.47826087
81,1994,2016,23,23,1
84,1998,2010,14,19,0.736842105
85,1996,2016,21,21,1
86,1998,2016,19,19,1
87,1997,2016,20,20,1
88,1996,2016,21,21,1
89,1997,2001,5,20,0.25
90,1995,1995,1,22,0.045454545
92,1997,2005,9,20,0.45
93,1997,2016,20,20,1
94,1998,2016,19,19,1
95,1997,2016,20,20,1
96,1997,2006,10,20,0.5
97,1996,2016,20,21,0.952380952
98,1994,1994,1,23,0.043478261
100,1998,2016,20,19,1.052631579
101,1997,2016,20,20,1
102,1998,2016,19,19,1
103,1997,2016,20,20,1
104,1998,2009,12,19,0.631578947
105,1996,2002,7,21,0.333333333
106,1997,2001,5,20,0.25
107,1997,2016,20,20,1
108,1995,2016,22,22,1
109,1996,2002,6,21,0.285714286
111,1996,2016,22,21,1.047619048
112,1998,2002,5,19,0.263157895
114,1997,2016,20,20,1
115,1998,2016,19,19,1
116,1996,2016,21,21,1
117,1998,2016,19,19,1
118,1997,2016,20,20,1
120,1995,2016,21,22,0.954545455
121,1996,2016,21,21,1
122,1997,2016,20,20,1
123,1997,2016,20,20,1
124,1996,2001,6,21,0.285714286
125,1998,2016,19,19,1
126,1992,2016,25,25,1
127,2000,2000,1,17,0.058823529
128,1997,2016,20,20,1
130,1997,1997,1,20,0.05
131,1995,2016,23,22,1.045454545
132,1998,2001,4,19,0.210526316
133,1997,2016,20,20,1
134,1997,2012,15,20,0.75
135,1998,2016,19,19,1
136,1997,2016,20,20,1
138,1996,2016,20,21,0.952380952
140,1997,2004,8,20,0.4
141,1995,2016,22,22,1
144,1994,2016,16,23,0.695652174
145,1997,2016,20,20,1
146,1995,2000,5,22,0.227272727
147,1997,2004,8,20,0.4
148,1992,2016,24,25,0.96
151,1992,2016,23,25,0.92
153,1997,2001,5,20,0.25
155,1994,2016,23,23,1
156,1997,2016,6,20,0.3
157,1995,2016,23,22,1.045454545
158,1996,2007,12,21,0.571428571
159,1998,2016,19,19,1
161,1995,1996,2,22,0.090909091
162,1997,1997,1,20,0.05
163,1998,1998,1,19,0.052631579
165,1998,2007,10,19,0.526315789
166,1995,2016,22,22,1
167,1998,2016,18,19,0.947368421
168,1998,2013,16,19,0.842105263
169,1998,1998,1,19,0.052631579
171,1995,2016,21,22,0.954545455
172,1996,2016,18,21,0.857142857
173,1995,2016,22,22,1
174,1998,2016,19,19,1
175,1996,2016,21,21,1
176,1996,2016,21,21,1
177,1995,2016,22,22,1
178,1997,2016,20,20,1
179,1998,2016,19,19,1
180,1998,2016,19,19,1
181,1998,2016,19,19,1
182,1998,2004,7,19,0.368421053
184,1998,2008,10,19,0.526315789
186,1998,2004,7,19,0.368421053
188,1998,2016,18,19,0.947368421
190,1992,2016,23,25,0.92
191,1992,2016,25,25,1
192,1997,2016,20,20,1
193,1997,2016,4,20,0.2
195,1998,2016,19,19,1
197,2000,2000,1,17,0.058823529
199,1998,2016,2,19,0.105263158
201,1998,2016,18,19,0.947368421
202,1998,1998,1,19,0.052631579
203,1998,2016,19,19,1
204,1998,2016,19,19,1
207,1999,2016,17,18,0.944444444
209,1999,2003,5,18,0.277777778
211,1999,2011,13,18,0.722222222
212,1999,2014,5,18,0.277777778
213,1999,2016,20,18,1.111111111
215,1999,2002,4,18,0.222222222
216,1999,2016,8,18,0.444444444
217,1999,2016,18,18,1
219,1999,2016,18,18,1
221,1999,2001,3,18,0.166666667
222,1999,2016,18,18,1
223,1999,2016,18,18,1
224,1999,2016,18,18,1
225,1999,2016,16,18,0.888888889
226,1999,2016,18,18,1
227,1999,1999,1,18,0.055555556
228,1999,2016,18,18,1
229,1999,2016,18,18,1
230,1999,2016,18,18,1
231,1998,2016,18,19,0.947368421
232,1999,2001,3,18,0.166666667
233,1999,2016,18,18,1
234,1999,2016,18,18,1
235,1999,2004,6,18,0.333333333
236,1999,2016,18,18,1
237,1999,2016,18,18,1
238,1999,2016,17,18,0.944444444
239,1999,1999,1,18,0.055555556
240,1999,2016,18,18,1
241,1999,2011,12,18,0.666666667
244,1999,2016,6,18,0.333333333
245,1999,2016,18,18,1
246,1999,2016,18,18,1
247,1999,2016,18,18,1
248,1999,2001,3,18,0.166666667
249,1999,2004,6,18,0.333333333
250,1999,2016,18,18,1
252,1999,1999,1,18,0.055555556
253,1999,2016,18,18,1
254,1999,2016,18,18,1
255,1999,2002,4,18,0.222222222
256,1999,2016,17,18,0.944444444
257,1999,1999,1,18,0.055555556
258,1999,2004,6,18,0.333333333
259,1999,2005,7,18,0.388888889
260,1999,2001,3,18,0.166666667
261,1999,2001,3,18,0.166666667
263,1999,2016,17,18,0.944444444
264,1999,2001,3,18,0.166666667
265,1999,2014,3,18,0.166666667
266,2000,2000,1,17,0.058823529
267,1999,2004,6,18,0.333333333
268,1999,2001,3,18,0.166666667
269,1999,2016,18,18,1
270,1999,2012,14,18,0.777777778
271,1999,2016,18,18,1
272,1998,2016,18,19,0.947368421
274,1999,2005,7,18,0.388888889
276,1999,2013,15,18,0.833333333
277,2000,2000,1,17,0.058823529
278,1999,2002,4,18,0.222222222
279,1999,2016,18,18,1
280,1999,2016,18,18,1
281,1999,2016,18,18,1
282,1999,2001,3,18,0.166666667
283,1999,2016,2,18,0.111111111
284,1999,2009,11,18,0.611111111
287,1999,2016,15,18,0.833333333
288,1999,2016,18,18,1
290,1999,1999,1,18,0.055555556
291,1999,2016,18,18,1
292,1999,2016,18,18,1
293,1999,2016,18,18,1
294,1999,2016,18,18,1
295,1999,2016,17,18,0.944444444
296,1999,2016,18,18,1
297,1999,2015,1,18,0.055555556
298,1999,2002,4,18,0.222222222
300,1999,2006,6,18,0.333333333
301,1999,2005,7,18,0.388888889
302,1999,2016,18,18,1
303,1999,2016,18,18,1
304,1999,2016,18,18,1
306,1999,2015,17,18,0.944444444
308,1999,2016,18,18,1
309,2000,2000,1,17,0.058823529
311,1999,2004,6,18,0.333333333
312,1999,2008,10,18,0.555555556
313,1999,2016,18,18,1
314,1999,2016,18,18,1
315,1999,1999,1,18,0.055555556
316,1999,2016,18,18,1
317,1999,2002,4,18,0.222222222
319,1999,2016,18,18,1
321,1999,2016,17,18,0.944444444
322,1999,2016,18,18,1
326,1999,2013,14,18,0.777777778
329,1999,2016,18,18,1
330,1999,2016,18,18,1
331,1999,2006,8,18,0.444444444
333,1999,2016,18,18,1
334,1999,2016,18,18,1
335,1999,2016,14,18,0.777777778
337,2000,2016,17,17,1
338,2000,2001,2,17,0.117647059
339,2000,2016,17,17,1
340,2000,2016,17,17,1
341,2000,2016,17,17,1
342,2000,2016,17,17,1
343,2000,2016,17,17,1
345,2000,2007,8,17,0.470588235
346,2000,2016,17,17,1
348,2000,2016,17,17,1
349,2000,2001,2,17,0.117647059
350,2000,2008,7,17,0.411764706
351,2000,2001,2,17,0.117647059
352,2000,2016,17,17,1
353,2000,2016,17,17,1
354,2000,2016,17,17,1
356,2000,2005,6,17,0.352941176
357,2000,2015,16,17,0.941176471
358,2000,2016,17,17,1
359,2000,2016,16,17,0.941176471
360,2000,2016,17,17,1
361,2000,2001,2,17,0.117647059
362,2000,2011,12,17,0.705882353
364,2000,2016,17,17,1
365,2000,2016,17,17,1
367,2000,2002,3,17,0.176470588
368,2000,2016,15,17,0.882352941
369,2000,2016,16,17,0.941176471
371,2000,2016,17,17,1
372,2000,2012,8,17,0.470588235
373,2000,2004,4,17,0.235294118
374,2000,2004,5,17,0.294117647
375,2000,2016,17,17,1
376,2000,2003,4,17,0.235294118
378,2000,2016,17,17,1
379,2000,2016,17,17,1
380,2000,2010,11,17,0.647058824
381,2000,2008,9,17,0.529411765
382,2000,2006,7,17,0.411764706
383,2000,2016,17,17,1
384,2000,2016,17,17,1
386,2000,2016,17,17,1
388,2000,2015,14,17,0.823529412
391,2000,2005,6,17,0.352941176
393,2000,2010,11,17,0.647058824
394,2000,2002,3,17,0.176470588
395,2000,2016,17,17,1
397,2000,2010,11,17,0.647058824
398,2000,2006,7,17,0.411764706
399,2000,2016,17,17,1
400,2000,2003,4,17,0.235294118
401,2000,2016,17,17,1
402,2000,2001,2,17,0.117647059
404,2000,2005,6,17,0.352941176
405,2000,2012,13,17,0.764705882
406,2000,2009,10,17,0.588235294
407,2000,2003,3,17,0.176470588
408,2000,2010,10,17,0.588235294
409,2000,2003,4,17,0.235294118
410,2000,2004,4,17,0.235294118
411,2000,2002,3,17,0.176470588
413,2000,2000,1,17,0.058823529
414,2000,2009,9,17,0.529411765
415,2000,2013,9,17,0.529411765
416,2000,2006,6,17,0.352941176
417,2000,2010,10,17,0.588235294
418,2000,2016,17,17,1
419,2000,2002,3,17,0.176470588
420,2000,2000,1,17,0.058823529
421,2000,2015,16,17,0.941176471
422,2000,2016,17,17,1
423,2000,2016,11,17,0.647058824
424,2000,2009,3,17,0.176470588
425,2000,2009,3,17,0.176470588
433,2000,2016,17,17,1
434,2000,2012,12,17,0.705882353
435,2000,2016,17,17,1
437,2000,2011,10,17,0.588235294
438,2000,2002,3,17,0.176470588
440,2000,2011,12,17,0.705882353
441,2000,2016,17,17,1
442,2000,2016,15,17,0.882352941
443,2000,2012,12,17,0.705882353
444,2000,2008,9,17,0.529411765
446,2000,2004,5,17,0.294117647
447,2000,2016,17,17,1
448,2000,2008,9,17,0.529411765
449,2000,2016,16,17,0.941176471
451,2000,2016,17,17,1
453,2000,2016,15,17,0.882352941
456,2000,2016,17,17,1
457,2000,2016,15,17,0.882352941
459,2000,2006,6,17,0.352941176
460,2000,2003,3,17,0.176470588
461,2000,2016,17,17,1
462,2000,2013,14,17,0.823529412
463,2000,2001,2,17,0.117647059
464,2000,2001,2,17,0.117647059
465,2000,2001,2,17,0.117647059
466,2000,2001,2,17,0.117647059
467,2000,2016,17,17,1
468,2000,2016,17,17,1
469,2000,2016,17,17,1
470,2000,2016,17,17,1
471,2000,2003,4,17,0.235294118
473,2000,2012,13,17,0.764705882
475,2000,2001,2,17,0.117647059
476,2000,2014,15,17,0.882352941
478,2000,2003,4,17,0.235294118
480,2000,2004,5,17,0.294117647
481,2000,2007,8,17,0.470588235
484,2000,2016,17,17,1
486,2000,2016,17,17,1
487,2000,2005,6,17,0.352941176
488,2000,2016,16,17,0.941176471
491,2000,2003,2,17,0.117647059
492,2001,2016,16,16,1
493,2001,2002,2,16,0.125
494,2001,2016,16,16,1
495,2001,2001,1,16,0.0625
496,2001,2016,15,16,0.9375
497,2001,2005,5,16,0.3125
498,2001,2016,16,16,1
499,2001,2015,15,16,0.9375
500,2001,2009,9,16,0.5625
501,2001,2016,16,16,1
502,2001,2002,2,16,0.125
503,2001,2016,16,16,1
504,2001,2001,1,16,0.0625
505,2001,2003,3,16,0.1875
506,2001,2003,3,16,0.1875
507,2001,2006,6,16,0.375
508,1997,2001,2,20,0.1
509,2001,2016,9,16,0.5625
510,2001,2007,7,16,0.4375
512,2001,2002,2,16,0.125
513,2001,2003,3,16,0.1875
514,2001,2016,16,16,1
515,2001,2011,11,16,0.6875
517,2001,2001,1,16,0.0625
518,2001,2010,10,16,0.625
519,2001,2013,13,16,0.8125
520,2001,2001,1,16,0.0625
521,2001,2007,6,16,0.375
522,2001,2014,14,16,0.875
524,2001,2002,2,16,0.125
525,2001,2016,16,16,1
527,2001,2016,15,16,0.9375
528,2001,2006,6,16,0.375
529,2001,2013,13,16,0.8125
533,2001,2016,16,16,1
535,2001,2004,4,16,0.25
536,2001,2001,1,16,0.0625
537,2001,2016,15,16,0.9375
538,2001,2016,16,16,1
539,2001,2016,16,16,1
540,2001,2016,16,16,1
541,2001,2005,5,16,0.3125
545,2001,2016,17,16,1.0625
546,2001,2006,5,16,0.3125
547,2001,2016,16,16,1
548,2001,2016,16,16,1
549,2001,2012,11,16,0.6875
550,2001,2008,8,16,0.5
551,2001,2002,2,16,0.125
554,2001,2016,15,16,0.9375
555,2001,2016,16,16,1
557,2001,2005,5,16,0.3125
558,2001,2016,16,16,1
560,2001,2003,3,16,0.1875
561,2001,2003,3,16,0.1875
562,2001,2011,11,16,0.6875
563,2001,2008,8,16,0.5
564,2001,2016,16,16,1
565,2001,2002,2,16,0.125
566,2001,2006,5,16,0.3125
568,2001,2016,16,16,1
569,2001,2016,15,16,0.9375
570,2001,2008,8,16,0.5
571,2001,2016,16,16,1
573,2001,2016,15,16,0.9375
574,2001,2002,2,16,0.125
575,2001,2001,1,16,0.0625
576,2001,2003,3,16,0.1875
577,2001,2001,1,16,0.0625
578,2001,2016,16,16,1
579,2001,2001,1,16,0.0625
580,2001,2016,13,16,0.8125
581,2001,2016,16,16,1
582,2001,2005,5,16,0.3125
583,2001,2002,2,16,0.125
585,2001,2016,16,16,1
586,2001,2001,1,16,0.0625
587,2001,2016,16,16,1
588,2001,2005,5,16,0.3125
589,2001,2016,16,16,1
590,2001,2016,16,16,1
591,2001,2002,2,16,0.125
592,2001,2001,1,16,0.0625
593,2001,2001,1,16,0.0625
594,2001,2001,1,16,0.0625
596,2001,2007,7,16,0.4375
597,2001,2016,16,16,1
598,2001,2005,5,16,0.3125
599,2001,2016,16,16,1
600,2001,2008,8,16,0.5
601,2001,2016,6,16,0.375
602,2001,2006,6,16,0.375
603,2001,2001,1,16,0.0625
604,2001,2016,15,16,0.9375
605,2001,2004,4,16,0.25
606,2001,2016,16,16,1
607,2001,2002,2,16,0.125
608,2001,2001,1,16,0.0625
609,2001,2002,2,16,0.125
610,2001,2016,15,16,0.9375
611,2001,2016,16,16,1
612,2001,2016,16,16,1
613,2001,2016,16,16,1
614,2001,2016,16,16,1
615,2001,2015,10,16,0.625
616,2001,2005,5,16,0.3125
617,2001,2016,16,16,1
618,2001,2007,7,16,0.4375
619,2001,2016,16,16,1
620,2001,2016,16,16,1
621,2001,2001,1,16,0.0625
622,2001,2002,2,16,0.125
623,2001,2016,16,16,1
624,2001,2016,16,16,1
625,2001,2001,1,16,0.0625
627,2001,2001,1,16,0.0625
628,2001,2003,3,16,0.1875
630,2001,2001,1,16,0.0625
632,2001,2003,3,16,0.1875
633,2001,2003,3,16,0.1875
634,2001,2006,5,16,0.3125
635,2001,2002,2,16,0.125
636,2001,2003,3,16,0.1875
637,2001,2008,8,16,0.5
638,2001,2007,7,16,0.4375
639,2001,2016,16,16,1
640,2001,2016,16,16,1
641,2001,2002,2,16,0.125
642,2001,2004,4,16,0.25
643,2001,2002,2,16,0.125
644,2001,2004,4,16,0.25
645,2001,2003,3,16,0.1875
646,2001,2001,1,16,0.0625
647,2001,2016,16,16,1
648,2001,2016,16,16,1
649,2001,2016,16,16,1
650,2001,2006,6,16,0.375
651,2001,2005,5,16,0.3125
652,2001,2003,3,16,0.1875
653,2001,2016,16,16,1
654,2001,2003,3,16,0.1875
655,2001,2002,2,16,0.125
658,2001,2003,3,16,0.1875
659,2001,2002,2,16,0.125
660,2001,2009,8,16,0.5
662,2001,2016,16,16,1
663,2001,2016,16,16,1
664,2001,2002,2,16,0.125
665,2001,2013,13,16,0.8125
666,2013,2013,1,4,0.25
667,2001,2001,1,16,0.0625
668,2001,2016,16,16,1
670,2001,2016,14,16,0.875
671,2001,2001,1,16,0.0625
674,2001,2001,1,16,0.0625
675,2001,2013,13,16,0.8125
676,2001,2001,1,16,0.0625
677,2001,2016,15,16,0.9375
679,2001,2002,2,16,0.125
681,2001,2001,1,16,0.0625
684,2001,2001,1,16,0.0625
685,2001,2003,2,16,0.125
686,2001,2016,16,16,1
687,2001,2016,16,16,1
688,2001,2002,2,16,0.125
690,2001,2002,2,16,0.125
691,2001,2016,16,16,1
692,2001,2016,16,16,1
694,2001,2016,16,16,1
695,2001,2016,16,16,1
696,2001,2016,16,16,1
697,2001,2005,4,16,0.25
698,2001,2016,16,16,1
699,2001,2001,1,16,0.0625
700,2001,2002,2,16,0.125
701,2001,2016,16,16,1
702,2001,2016,16,16,1
